{
Memberships
European Mathematical Society (2013-)
Magyar Operációkutatási Társaság (2006-)
Bolyai János Matematikai Társulat (2000-)
MTA – VEAB Logisztikai Szakbizottság (2012-)
Pro Scientia Aranyérmesek Társasága (2009-)
}
